Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Colombia,COL,Exports of goods and services (BoP_ current US$),BX.GSR.GNFS.CD,9100000000,9246100000,9948400000,10600937157.2708,12269610830.1998,13140661010.079,14211030620.5893,13400195951.7822,13940404311.8791,15805109983.6642,15062583135.2386,14246681388.6471,15733414821.1176,19647838536.4314,24703718797.9596,28916683205.2247,34531554682.8288,43051698916.1258,38559134560.6375,45874927187.2608,63898275121.5271,68034266518.1117,67140383416.7859,63861685810.6861,..
Colombia,COL,Current account balance (BoP_ current US$),BN.CAB.XOKA.CD,2348800000,900700000,-2102400000,-3666972447.69263,-4515876292.87012,-4641240162.00298,-5750513928.35473,-4857623993.57951,670982414.631348,832542893.448876,-1037702203.15612,-1302456214.74342,-945976951.885764,-782003610.676693,-1892371326.64647,-2911241701.21097,-6008879635.31462,-6460865542.2898,-4647786041.27783,-8662515524.93829,-9710022810.83757,-11305550191.7669,-12367352184.0545,-19567183091.9154,..
Colombia,COL,Exports of goods_ services and primary income (BoP_ current US$),BX.GSR.TOTL.CD,9490400000,9694900000,10509600000,11303419869.173,12947134738.0377,13856585408.4986,15130865089.8758,14349523237.0803,14863484285.938,16834808235.1237,15962543644.1424,14949669731.7651,16250781933.953,20308786887.1815,25787178329.4121,30491793946.3868,36462903332.3558,45009132683.3912,40164906013.9296,47548960967.9101,66678493197.5845,71888752761.0552,70767168192.1811,67860879673.1417,..
Colombia,COL,Imports of goods_ services and primary income (BoP_ current US$),BM.GSR.TOTL.CD,8839600000,10528000000,13750000000,16039110578.5797,18261858996.8776,19203701535.8626,21594703621.4336,19957554336.2831,15647130885.5212,17675444334.09,19354249437.5383,18907930966.2099,20505263230.7715,24815049864.461,31761444523.3351,38117227506.7181,47624673785.3162,56924619516.9898,49370931088.7097,60659027446.6073,81222745451.2974,87773589838.4754,87728088349.4158,91786670350.213,..
Colombia,COL,GNI (current US$),NY.GNP.MKTP.CD,39407152602.3221,47212242261.5792,53944072595.6132,80251568556.0538,90927819872.8017,95106855668.9627,104288372233.17,96684706939.2359,84672005777.3981,97729650050.2607,95779460550.3842,95300395483.2473,91452657616.6,113011041362.088,141299617665.015,156899126096.414,199664134642.379,234428717870.84,225466130544.258,275801544637.529,319935836702.186,354632430375.52,365865296192.64,365070062865.838,..
Colombia,COL,GNI (constant 2005 US$),NY.GNP.MKTP.KD,92128676889.3081,97140379656.4416,100351197135.226,107904715690.348,113596641463.256,115463386186.38,119285119187.754,120531147731.044,115482988808.379,120088112556.823,121764065404.518,124532595133.962,128468423090.683,135187423358.882,141299617665.015,150851813871.545,160796768878.411,166043079871.491,169506399728.848,175452462269.938,185293733248.499,193965050212.597,204344434263.546,214615462327.461,..
Colombia,COL,GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,2638.5223171934,2731.832887524,2772.5024398345,2930.3189921628,3033.937881043,3034.5939394629,3086.6569218546,3072.1049721377,2900.1777959962,2972.1867739947,2970.6588532161,2995.5527356505,3047.7314261284,3164.191709128,3264.3535066694,3441.2969897704,3623.6179834492,3697.9274234291,3732.283107687,3820.9868973009,3992.8447278315,4137.3898965376,4316.3125225403,4490.671831379,..
Colombia,COL,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,24.1311251553,18.7771300481,18.2679778335,19.4950486092,18.8469530903,15.4453954036,13.7613958467,13.0423297546,13.5937709417,13.8741176247,13.1588654658,14.3080107199,15.9412453072,17.4341959139,18.1297357189,19.5890065893,19.241488406,20.1219519402,19.2868533744,18.668469479,20.4497275342,20.0631710957,19.7746665968,18.9892080421,..
Colombia,COL,Total reserves (includes gold_ current US$),FI.RES.TOTL.CD,6838511906,7907619250,8048472823.378,8102672937.449,8451977694.1312,9938021787.14984,9906526074.42775,8753949910.15631,8103045719.5212,9005871329.17352,10244081768.3605,10844466332.7173,10920223372.0695,13536935664.4634,14954556694.0346,15437167216.86,20951443767.55,23670593457.6694,24987458183.0098,28076151760.3903,31895551158.6282,36997795909.421,43158796415.04,46809448377.1666,46103762324.4639
Comoros,COM,Exports of goods and services (BoP_ current US$),BX.GSR.GNFS.CD,49059831.0363548,48022294.8997404,52638051.0146917,39623070.8873906,45825230.2661027,..,..,..,..,..,..,..,60015995.8208107,56949050.0486957,57102945.6527063,60124648.4609568,71485549.3879424,74129610.3361136,77701176.8341134,87432876.5679787,99642844.5383799,89546612.9444309,..,..,..
Comoros,COM,Current account balance (BoP_ current US$),BN.CAB.XOKA.CD,-10249392.7354419,-14190208.4527909,9574086.299955,-7216639.07004114,-18963177.4793974,..,..,..,..,..,..,..,-18398696.0163183,-20698420.4684167,-26840153.9150259,-22518474.0224513,-31577139.4705489,-68713973.2896242,-39227178.3722799,-39297299.2964865,-55427015.0829109,-41140989.6380866,..,..,..
Comoros,COM,Exports of goods_ services and primary income (BoP_ current US$),BX.GSR.TOTL.CD,51870845.9216026,51513176.8513854,55940068.9750229,42247958.2429829,49225726.8052312,..,..,..,..,..,..,..,64099496.9316644,59763187.2054186,59544798.0431673,63493104.6736772,76802279.2992225,79676783.2857724,80891253.2115394,90665981.1226846,103434610.261803,93306451.6606549,..,..,..
Comoros,COM,Imports of goods_ services and primary income (BoP_ current US$),BM.GSR.TOTL.CD,103062510.945332,110782609.813947,100677997.874997,93227929.6835266,105741284.761509,..,..,..,..,..,..,..,108226544.048108,126161680.765119,144279098.230169,160727507.394872,195117425.767778,262652934.942875,258019962.924423,275408757.672333,311555373.791171,327110442.32544,..,..,..
Comoros,COM,GNI (current US$),NY.GNP.MKTP.CD,246312979.764591,270059722.784726,265390404.442432,186213312.814542,232913974.384351,230863229.943179,212332619.45082,215025703.410125,222781852.444894,204187572.483366,220806701.126561,245984366.074698,316212657.475731,365981598.066498,378701235.309388,404673979.097723,461362213.079249,516292640.167263,513644466.494738,515832207.140511,564810529.138474,549319882.578928,597700968.234168,622493880.177362,..
Comoros,COM,GNI (constant 2005 US$),NY.GNP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,348415598.920517,354283413.537857,361329293.76697,367715435.003515,378701235.309388,389069375.636624,392662967.909077,394227948.259834,401934821.765503,410779087.831266,421468651.164567,434154278.579222,449384813.596216,458683669.346153,..
Comoros,COM,GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,620.4810096087,615.6867819047,612.9419741594,608.9324588669,612.1591435771,613.8541837773,604.6512924298,592.4551456083,589.4812189948,587.923325387,588.6663880216,591.7641507171,597.8270680822,595.7000398007,..
Comoros,COM,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,11.4497873712,14.8848687835,22.7032004663,17.2687281021,11.2371408868,..,..,..,..,..,..,..,5.8599393752,5.2663508949,3.9927326809,5.8042088472,3.6763788587,6.700973581,8.7818905338,6.9456769947,6.2982229593,10.8831488877,..,..,..
Comoros,COM,Total reserves (includes gold_ current US$),FI.RES.TOTL.CD,29376988.2109708,27281152.5304221,39023656.6091886,44412094.1325643,44871595.1912516,50918862.2076236,40648723.8535024,39309125.1163749,37315505.9317969,43370720.158848,62479685.0924576,80135343.8625116,94540111.8398938,103991909.006843,86095119.6006439,93890571.0613997,117643067.382851,112663907.119211,150899364.250741,146075846.898406,156064596.885838,195019558.3626,174071480.465942,171159562.37072,..
